iter	Passed	Remaining
1247	28138	16955
1248	28160	16932
1249	28178	16906
1250	28199	16883
1251	28226	16864
1252	28252	16843
1253	28275	16821
1254	28299	16799
1255	28321	16776
1256	28343	16753
1257	28366	16730
1258	28386	16707
1259	28402	16680
1260	28431	16662
1261	28455	16640
1262	28480	16619
1263	28497	16593
1264	28515	16568
1265	28529	16540
1266	28550	16517
1267	28574	16495
1268	28598	16474
1269	28621	16451
1270	28647	16431
1271	28672	16410
1272	28696	16388
1273	28710	16361
1274	28734	16339
1275	28754	16315
1276	28783	16296
1277	28801	16271
1278	28823	16248
1279	28845	16225
1280	28874	16206
1281	28894	16182
1282	28913	16158
1283	28934	16134
1284	28954	16111
1285	28980	16090
1286	29002	16067
1287	29026	16045
1288	29047	16022
1289	29065	15997
1290	29094	15978
1291	29119	15957
1292	29139	15933
1293	29157	15907
1294	29178	15884
1295	29195	15859
1296	29215	15835
1297	29241	15814
1298	29265	15792
1299	29285	15769
1300	29306	15745
1301	29330	15724
1302	29349	15699
1303	29366	15674
1304	29386	15650
1305	29409	15628
1306	29428	15603
1307	29447	15579
1308	29467	15555
1309	29487	15531
1310	29514	15511
1311	29540	15490
1312	29557	15465
1313	29576	15441
1314	29598	15418
1315	29620	15395
1316	29638	15370
1317	29655	15345
1318	29685	15326
1319	29707	15303
1320	29731	15282
1321	29752	15258
1322	29767	15232
1323	29792	15211
1324	29817	15190
1325	29837	15166
1326	29855	15141
1327	29874	15117
1328	29895	15094
1329	29912	15068
1330	29933	15045
1331	29949	15019
1332	29970	14996
1333	29994	14974
1334	30015	14951
1335	30035	14927
1336	30054	14903
1337	30077	14881
1338	30097	14857
1339	30115	14833
1340	30140	14811
1341	30158	14787
1342	30179	14763
1343	30206	14743
1344	30227	14720
1345	30248	14697
1346	30269	14674
1347	30282	14646
1348	30302	14623
1349	30325	14601
1350	30346	14578
1351	30366	14554
1352	30387	14531
1353	30412	14509
1354	30431	14485
1355	30451	14462
1356	30480	14443
1357	30505	14421
1358	30532	14401
1359	30554	14378
1360	30573	14354
1361	30596	14332
1362	30618	14309
1363	30643	14288
1364	30664	14265
1365	30687	14242
1366	30705	14218
1367	30730	14197
1368	30750	14173
1369	30774	14151
1370	30797	14129
1371	30820	14107
1372	30840	14083
1373	30862	14061
1374	30884	14038
1375	30907	14016
1376	30928	13993
1377	30953	13971
1378	30978	13950
1379	31001	13928
1380	31025	13906
1381	31047	13883
1382	31072	13862
1383	31090	13837
1384	31111	13814
1385	31134	13792
1386	31157	13770
1387	31183	13749
1388	31204	13726
1389	31227	13704
1390	31254	13683
1391	31276	13661
1392	31298	13638
1393	31322	13616
1394	31345	13594
1395	31370	13572
1396	31394	13551
1397	31420	13530
1398	31447	13509
1399	31469	13486
1400	31492	13464
1401	31513	13441
1402	31535	13418
1403	31562	13398
1404	31587	13376
1405	31606	13353
1406	31630	13331
1407	31654	13309
1408	31680	13288
1409	31706	13267
1410	31721	13241
1411	31739	13217
1412	31758	13193
1413	31780	13170
1414	31798	13146
1415	31816	13122
1416	31836	13098
1417	31862	13077
1418	31883	13054
1419	31908	13033
1420	31937	13013
1421	31959	12990
1422	31986	12969
1423	32004	12945
1424	32025	12922
1425	32047	12899
1426	32074	12879
1427	32099	12857
1428	32129	12838
1429	32155	12817
1430	32181	12796
1431	32202	12772
1432	32219	12748
1433	32244	12727
1434	32269	12705
1435	32295	12684
1436	32323	12663
1437	32349	12642
1438	32368	12618
1439	32392	12597
1440	32410	12573
1441	32436	12551
1442	32458	12528
1443	32479	12505
1444	32494	12480
1445	32512	12456
1446	32537	12435
1447	32561	12412
1448	32583	12390
1449	32603	12366
1450	32623	12343
1451	32652	12323
1452	32666	12297
1453	32687	12274
1454	32702	12249
1455	32727	12227
1456	32750	12205
1457	32766	12180
1458	32790	12158
1459	32817	12137
1460	32841	12115
1461	32863	12093
1462	32889	12072
1463	32919	12052
1464	32939	12029
1465	32968	12008
1466	32993	11987
1467	33019	11966
1468	33046	11945
1469	33067	11922
1470	33088	11899
1471	33108	11876
1472	33133	11854
1473	33156	11831
1474	33182	11810
1475	33206	11788
1476	33232	11767
1477	33261	11747
1478	33284	11725
1479	33306	11702
1480	33322	11677
1481	33348	11656
1482	33371	11633
1483	33393	11611
1484	33411	11587
1485	33440	11566
1486	33465	11545
1487	33490	11523
1488	33511	11500
1489	33530	11476
1490	33552	11454
1491	33572	11430
1492	33588	11406
1493	33612	11384
1494	33633	11361
1495	33655	11338
1496	33675	11315
1497	33701	11293
1498	33729	11273
1499	33753	11251
1500	33774	11228
1501	33796	11205
1502	33818	11182
1503	33840	11160
1504	33860	11136
1505	33881	11113
1506	33906	11092
1507	33935	11071
1508	33963	11051
1509	33987	11029
1510	34010	11006
1511	34037	10985
1512	34064	10964
